City,Duration,Online,Career_Outcomes,Duration_Time,Prerequisite_3,Course,Offline,Full_Time,Prerequisite_2,Distance,Prerequisite_1,Availability,Currency_Time,Country,Int_Fees,Prerequisite_2_grade,Prerequisite_1_grade,Part_Time,University,Course_Lang,Local_Fees,Description,Currency,Remarks,Blended,Level_Code,Prerequisite_3_grade,Website,Face_to_Face,Faculty
Melbourne,2,no,ANCA / Ford / Kenworth Australia / Wilson Transformer Company,Years,,Master of Engineering (Manufacturing),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Globally manufacturing companies are undergoing dramatic change. The forth industry revolution, Industry 4.0, requires manufacturing engineers and professionals to gain the expertise to lead change, adopt new technologies and implement new operating practices in manufacturing businesses. RMIT University is ranked among the world’s top 150 universities in mechanical, aeronautical and manufacturing engineering (2019 QS World University Rankings by Subject) so is a great place to study. As the pace of change accelerates, it creates demand for trained professionals who can strategically apply new technologies and modes of manufacturing in industry. Opportunities exist for you to get ahead in your career today.",AUD,,no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc224,yes,Engineering
Bundoora,2,no,ANCA / Ford / Kenworth Australia / Wilson Transformer Company,Years,,Master of Engineering (Manufacturing),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Globally manufacturing companies are undergoing dramatic change. The forth industry revolution, Industry 4.0, requires manufacturing engineers and professionals to gain the expertise to lead change, adopt new technologies and implement new operating practices in manufacturing businesses. RMIT University is ranked among the world’s top 150 universities in mechanical, aeronautical and manufacturing engineering (2019 QS World University Rankings by Subject) so is a great place to study. As the pace of change accelerates, it creates demand for trained professionals who can strategically apply new technologies and modes of manufacturing in industry. Opportunities exist for you to get ahead in your career today.",AUD,,no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc224,yes,Engineering
Melbourne,2,no,child protection / dispute mediation and industrial relations / health services and hospitals / human resource management / policy and advocacy work / community development projects / program and organisational development / immigration advice and referral centres / government departments / youth and family services.,Years,,Master of Social Work,no,yes,,no,IELTS,A,year,,"31,680",,6.5,yes,RMIT University,English,,"Social workers promote human wellbeing and foster social inclusion. They mobilise the forces of individuals, the community, and state organisations to transform lives and create lasting and meaningful social change. RMIT has been teaching social work for over 40 years, and our programs continue to reflect up-to-date ideas about social work and its place in a changing world. Our graduates are resilient, outspoken members of society who advocate a fairer world for all. Field education forms a large component of the social work course. You'll undertake 140 days of work placements within human and community service organisations.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-social-work-mc150,no,Humanities and Social Science
Melbourne,1,no,"airworthiness engineering in design, engineering and manufacturing organisations / airworthiness policy and regulations formulation and administration in aviation regulating authorities / aircraft and aeronautical product design and certification in design and engineering organisations / aircraft maintenance management in airlines, continuing airworthiness management organisations and maintenance organisations.",Year,,Master of Engineering (Airworthiness),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"The field of airworthiness encompasses engineering disciplines required to ensure an aircraft or other airborne systems meet their design standards and is in a condition for safe operation. This includes the design, manufacture, certification, operation and maintenance of aircraft, both civil and military. Are you an engineer looking for further develop your specialist knowledge in the field of airworthiness engineering and management? This course provides you with specialised knowledge and expertise in the areas of initial and continuing airworthiness engineering and management. The objectives of this program are to educate you as an airworthiness engineering professional who is able to:",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc238,yes,Engineering
Bundoora,1,no,"airworthiness engineering in design, engineering and manufacturing organisations / airworthiness policy and regulations formulation and administration in aviation regulating authorities / aircraft and aeronautical product design and certification in design and engineering organisations / aircraft maintenance management in airlines, continuing airworthiness management organisations and maintenance organisations.",Year,,Master of Engineering (Airworthiness),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"The field of airworthiness encompasses engineering disciplines required to ensure an aircraft or other airborne systems meet their design standards and is in a condition for safe operation. This includes the design, manufacture, certification, operation and maintenance of aircraft, both civil and military. Are you an engineer looking for further develop your specialist knowledge in the field of airworthiness engineering and management? This course provides you with specialised knowledge and expertise in the areas of initial and continuing airworthiness engineering and management. The objectives of this program are to educate you as an airworthiness engineering professional who is able to:",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc238,yes,Engineering
Melbourne,2,no,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Master of Engineering (Sustainable Energy),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Immerse yourself in the technology to improve energy efficiency, learn to use renewable resources and reduce the environmental and social impacts of conventional energy resources.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc229,yes,Engineering
Bundoora,2,no,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Master of Engineering (Sustainable Energy),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Immerse yourself in the technology to improve energy efficiency, learn to use renewable resources and reduce the environmental and social impacts of conventional energy resources.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc229,yes,Engineering
Melbourne,2,no,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Master of Engineering (Management),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"The Master of Engineering (Management) is designed to equip you with the leadership skills you need to develop and maintain an agile, profitable business with a strong focus on innovation in today’s market.

Learn how to develop a commercial proposal to win a major project, design a strategic business plan to improve organisational productivity, or enhance competitive advantage in a rapidly changing technological environment.  You’ll develop skills and expertise in areas including:",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc226,yes,Engineering
Bundoora,2,no,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Master of Engineering (Management),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"The Master of Engineering (Management) is designed to equip you with the leadership skills you need to develop and maintain an agile, profitable business with a strong focus on innovation in today’s market.

Learn how to develop a commercial proposal to win a major project, design a strategic business plan to improve organisational productivity, or enhance competitive advantage in a rapidly changing technological environment.  You’ll develop skills and expertise in areas including:",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc226,yes,Engineering
Melbourne,3,yes,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Juris Doctor,no,no,,no,IELTS,A,year,,"46,080",,6.5,no,RMIT University,English,,"If you are a graduate who is passionate about law and justice, our Juris Doctor is your entry point to the legal profession.   Build real-world skills such as research, advocacy, negotiation and how to work with clients, in a course ranked #1 in Victoria for skills development in law.
 Take advantage of RMIT’s deep industry connections. Choose from a range of clinical, judicial, research and international study opportunities.   Work on law reform projects with our industry partners including RMIT’s Centre for Innovative Justice and its partners in community based legal services.   You will build skills and expertise in the critical areas of practice. Under the supervision of legal professionals you will engage in a variety of simulations to develop practical legal capabilities.   In three years, the RMIT Juris Doctor will transform you from a non-law graduate into a legal professional. We will develop your practical and theoretical capabilities through a unique approach that we call ‘bringing law to life’. Through our deep industry connections, you will gain valuable legal experiences that prepare you to contribute in a rapidly changing world.
 A feature of this course is the focus on Innovative Justice giving students the knowledge and skills to capitalise on emerging opportunities in the changing world of the law.
 The RMIT JD is structured to bring the study of law to life by offering an amalgamation of practical, theoretical and research opportunities. You will develop a full range of contemporary legal skills. You will study Australian and international substantive law, focussing on all core areas of legal practice including commercial law, international law and innovation in the justice system. Students can undertake 3 years of full-time study, or on a part-time basis. Online learning options are also available.    At RMIT, we understand the importance of providing students with real-world experiences and the skills to succeed in a rapidly evolving job market. RMIT’s focus on industry-based, practical learning has seen our law courses ranked #1 in Victoria for skills development and among the top 10 for employer reputation in Australia. RMIT is also recognised as being among the top 250 institutions in the world for the teaching of Law.   ",AUD,[],no,DPG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc161,no,Law
