Currency_Time,Career_Outcomes,Online,Prerequisite_2_grade,Distance,Blended,Prerequisite_2,Duration_Time,City,Int_Fees,Remarks,University,Country,Part_Time,Local_Fees,Level_Code,Course,Faculty,Description,Duration,Course_Lang,Availability,Currency,Prerequisite_3_grade,Face_to_Face,Prerequisite_3,Prerequisite_1_grade,Prerequisite_1,Offline,Website,Full_Time
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Melbourne,,,RMIT University,,no,,BA,Undergraduate Certificate in Information Technology,Computer Science & Information Technology,"The Undergraduate Certificate in Information Technology has been designed to help you develop the foundational knowledge and skills that are essential for working in the information technology industry. You will develop the skills to support, troubleshoot and design websites, applications and programming networks. You will also gain a combination of knowledge and practical expertise to influence an organisation’s technology infrastructure and the clients who use IT. Upon completing this certificate, you will be able to seek roles in mobile computing, security and cloud computing, data management, software systems development and analysis, and systems administration, or to pursue further study at an undergraduate level.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc001,yes
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Online,,,RMIT University,,no,,BA,Undergraduate Certificate in Information Technology,Computer Science & Information Technology,"The Undergraduate Certificate in Information Technology has been designed to help you develop the foundational knowledge and skills that are essential for working in the information technology industry. You will develop the skills to support, troubleshoot and design websites, applications and programming networks. You will also gain a combination of knowledge and practical expertise to influence an organisation’s technology infrastructure and the clients who use IT. Upon completing this certificate, you will be able to seek roles in mobile computing, security and cloud computing, data management, software systems development and analysis, and systems administration, or to pursue further study at an undergraduate level.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc001,yes
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Melbourne,,"['ATAR IS: Not available', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Environmental Science,Creative Arts & Design & Music,"The Undergraduate Certificate in Environmental Science is designed to help you build foundational and interdisciplinary knowledge of this field. You will discover that environmental science is a multi-faceted discipline, requiring communication, problem-solving, field, laboratory, research, and data communication skills. 
 You will be able demonstrate a broad and coherent knowledge and understanding of earth system processes, especially in the hydrosphere, ecosphere, atmosphere and lithosphere. You'll explore concepts related to environmental chemistry and biology, and how natural sciences connect with other scientific areas.  Upon graduating from this certificate, you will be able to understand why current environmental science knowledge is highly relevant to society, and both contestable and testable through further inquiry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc002,yes
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Online,,"['ATAR IS: Not available', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Environmental Science,Creative Arts & Design & Music,"The Undergraduate Certificate in Environmental Science is designed to help you build foundational and interdisciplinary knowledge of this field. You will discover that environmental science is a multi-faceted discipline, requiring communication, problem-solving, field, laboratory, research, and data communication skills. 
 You will be able demonstrate a broad and coherent knowledge and understanding of earth system processes, especially in the hydrosphere, ecosphere, atmosphere and lithosphere. You'll explore concepts related to environmental chemistry and biology, and how natural sciences connect with other scientific areas.  Upon graduating from this certificate, you will be able to understand why current environmental science knowledge is highly relevant to society, and both contestable and testable through further inquiry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc002,yes
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Melbourne,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Biotechnology,Computer Science & Information Technology,"Biotechnology explores new technologies to find solutions to challenges and scientific issues in human health, adaptation of animals and plants, a changing climate, food shortages, and renewable energy.
 Through your studies in the Undergraduate Certificate in Biotechnology, you will develop a strong understanding of the field, and be able to address a range of issues it faces. By collecting, recording and interpreting scientific data, you will be able to critically analyse and solve problems using practical and theoretical skills in field, laboratory-based or virtual experiments. Develop your skills in critical thinking and problem solving, and use enhanced scientific knowledge to develop solutions to important challenges in industry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc004,yes
year,systems analyst / analyst and application programmer / software tester / database or systems administrator / web developer.,yes,6.0,no,no,IELTS,Months,Online,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Biotechnology,Computer Science & Information Technology,"Biotechnology explores new technologies to find solutions to challenges and scientific issues in human health, adaptation of animals and plants, a changing climate, food shortages, and renewable energy.
 Through your studies in the Undergraduate Certificate in Biotechnology, you will develop a strong understanding of the field, and be able to address a range of issues it faces. By collecting, recording and interpreting scientific data, you will be able to critically analyse and solve problems using practical and theoretical skills in field, laboratory-based or virtual experiments. Develop your skills in critical thinking and problem solving, and use enhanced scientific knowledge to develop solutions to important challenges in industry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc004,yes
year,software development / system architecture and analysis / database administration / network and system administration / testing and quality assurance / project management / research.,yes,6.0,no,no,IELTS,Months,Melbourne,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Computer Science,Computer Science & Information Technology,"Join the fast-paced and essential world of computer science, and gain qualifications that can take you into almost any industry. The Undergraduate Certificate in Computer Science aims to help you develop knowledge in both theoretical and algorithmic computer science, and build foundational programming skills.  You'll enhance your understanding of the advances made in this rapidly changing environment, and increase your foundational technology and industry knowledge that will help you work towards a career as a software developer. You'll learn to analyse and understand the constraints of software and IT systems, and how to design and implement solutions based on the needs of users and organisations. Upon completion of this certificate, you will be able to communicate and present your software and IT ideas, suggestions and solutions to a range of audiences in different contexts, ensuring you are a proactive and knowledgable member of industry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc003,yes
year,software development / system architecture and analysis / database administration / network and system administration / testing and quality assurance / project management / research.,yes,6.0,no,no,IELTS,Months,Online,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Computer Science,Computer Science & Information Technology,"Join the fast-paced and essential world of computer science, and gain qualifications that can take you into almost any industry. The Undergraduate Certificate in Computer Science aims to help you develop knowledge in both theoretical and algorithmic computer science, and build foundational programming skills.  You'll enhance your understanding of the advances made in this rapidly changing environment, and increase your foundational technology and industry knowledge that will help you work towards a career as a software developer. You'll learn to analyse and understand the constraints of software and IT systems, and how to design and implement solutions based on the needs of users and organisations. Upon completion of this certificate, you will be able to communicate and present your software and IT ideas, suggestions and solutions to a range of audiences in different contexts, ensuring you are a proactive and knowledgable member of industry.",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc003,yes
year,data analyst / analytics consultant / operations research analyst / business intelligence analyst / financial analyst / statistician. ,yes,6.0,no,no,IELTS,Months,Melbourne,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Analytics,Business & Commerce & Finance & Accounting,"With exponential growth in available data, the study of analytics has emerged as a key field requiring skilled data analysts. Your capabilities in analytics can take you into countless industries, undertaking professional roles in almost any field. As part of the Undergraduate Certificate in Analytics, you'll gain complementary skills in analytics and information literacy, as well as an understanding of appropriate and relevant, fundamental and applied mathematical and statistical knowledge, methodologies and modern computational tools. Through your studies, you will develop the ability to contextualise data drawn from diverse and evolving social, political and cultural dimensions, to reflect on experience and improve your own future practice, and you will be able to apply the principles of data analytics and lifelong learning to new challenges. ",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc005,yes
year,data analyst / analytics consultant / operations research analyst / business intelligence analyst / financial analyst / statistician. ,yes,6.0,no,no,IELTS,Months,Online,,"['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,no,,BA,Undergraduate Certificate in Analytics,Business & Commerce & Finance & Accounting,"With exponential growth in available data, the study of analytics has emerged as a key field requiring skilled data analysts. Your capabilities in analytics can take you into countless industries, undertaking professional roles in almost any field. As part of the Undergraduate Certificate in Analytics, you'll gain complementary skills in analytics and information literacy, as well as an understanding of appropriate and relevant, fundamental and applied mathematical and statistical knowledge, methodologies and modern computational tools. Through your studies, you will develop the ability to contextualise data drawn from diverse and evolving social, political and cultural dimensions, to reflect on experience and improve your own future practice, and you will be able to apply the principles of data analytics and lifelong learning to new challenges. ",6,English,D,AUD,,no,,,,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/undergraduate-certificates/uc005,yes
year,"banking and finance / environmental modelling / data sciences and decision science / cybersecurity (coding, cryptography) / network sciences / sport management / logistics / engineering / education and research ",no,6.0,no,no,IELTS,Years,Melbourne,"34,560","['ATAR IS: Not applicable', 'int_fee is: not applicable']",RMIT University,,yes,,BA,Bachelor of Science (Applied Mathematics and Statistics),Business & Commerce & Finance & Accounting,"Link theory to practice and apply your knowledge and practical skills to real scenarios using industry-relevant software and programming tools.
",3,English,A,AUD,,no,,77.95,year 12,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bp083,yes
year,fashion design / product development / pattern design / grading / production management / quality assurance and control / offshore production management / specification coordination / garment technology.,no,6.0,no,no,IELTS,Year,Melbourne,"34,560",[],RMIT University,,no,,BA,Bachelor of Fashion (Design Technology),Computer Science & Information Technology,"Are you ready to work as a fashion designer and fashion product developer within the global fashion industry? You will work with key industry figures on your major project, producing a collection that will be showcased at a graduate runway show to major players in the fashion and textile industries. The degree's focus is on enhancing your creative product design skills and management talents to a global standard.  In this degree you will focus on: Through this degree you will expand on methods of researching, designing, pattern cutting and garment realisation to achieve finished fashion concepts relevant to industry needs. You will gain an in depth knowledge of how the global fashion system operates and how you can work effectively within it. This degree is for one-year duration and is offered to applicants who are either directly articulating from the RMIT Associate Degree in Fashion Design and Technology or applicants who have an equivalent qualification. This degree provides the opportunity to undertake a further year of undergraduate study and gain a degree. The degree's focus is on enhancing your creative product design skills and management talents to a sophisticated, global standard. You will develop advanced knowledge and technical skills in fashion design and explore innovative creative design concepts for developing fashion products. You will work with key industry figures on your major project, producing a collection that will be showcased at a graduate runway show to major players in the fashion and textiles industries. The advanced skills you will acquire in computer-aided design (CAD) and pattern technology will further enhance your product design and development skills. You will also develop the confidence and knowledge to be innovative and entrepreneurial in the management of fashion production and supply chains, both in Australia and overseas.",1,English,A,AUD,,no,,77.95,year 12,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bp211,yes
year,basic and applied research / diagnostic services / industry / government.,no,6.0,no,no,IELTS,Year,Bundoora,"38,400",['ATAR IS: Not applicable'],RMIT University,,yes,,HONS,Bachelor of Health and Biomedical Sciences (Honours),English,"The RMIT honours degree in the School of Health and Biomedical Sciences has been designed to equip you with a transferable skill set relevant for a future career in academic and applied research, diagnostic services, industry, medical marketing, scientific communication and many other STEM-related careers. It is a unique supervisor-guided independent research project with complimentary workshops in research methods and scientific communication appropriate to your chosen research discipline Specifically, the benefits of an honours degree are: The transferable skills and independent research experience gained as part of this honours degree are unique from those learnt during undergraduate studies. These skills and experiences are required for future higher degree by research study and expected for most academic and research positions. Many non-academic employers also recognise these skills as highly desirable in prospective employees. In consultation with the program coordinator and your potential supervisor, you will be allocated a project that aims to complement your skills and areas of interest. The multidisciplinary nature of our scientific research focus in the School of Health and Biomedical Sciences provides unparalleled opportunities to offer projects in leading-edge health and biomedical research programs. Each project is  developed specifically for honours students and may be a preliminary exploration, a smaller component of a bigger research project or part of an existing collaboration with industry. Principle areas of research focus include: View the list of current honours projects available. This research extension to your undergraduate degree is closely aligned with RMIT's research community. Depending on your project, you will work with a supervisor who is actively contributing to RMIT's research strength area of biomedical and health innovation and is connected to recognised local and international research groups and institutes. You may also have the opportunity to use RMIT's extensive biomedical and biotechnical equipment and facilities and to work collaboratively with professional technicians and staff from these facilities.",1,English,A,AUD,,yes,,77.95,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh058,yes
year,ABB / Festo / Toyota / Cadbury / National Instruments / SAGE / Ford / Bosch Australia,no,6.0,no,no,IELTS,Years,Melbourne,"39,360",['ATAR IS: Not applicable'],RMIT University,,yes,,HONS,Bachelor of Engineering (Adv Manufacturing and Mechatronics) (Honours),Engineering,"Are you ready for an exciting career which lets you design, build and implement smart mechatronic systems which can be deployed within a wide range of engineering companies? In the Bachelor of Engineering (Advanced Manufacturing and Mechatronics) (Honours) degree, you will learn about mechatronics, robotics, advanced materials, automated systems and the simulation and modelling of manufacturing processes. As automation replaces people in various industry sectors, engineers with experience in robotics and mechatronics will be sought after. This degree will prepare you to work in a wide range of industries and as an RMIT graduate, you'll demonstrate skills across mathematics, engineering, mechatronics, design and creativity. You'll also be able to communicate your ideas to others, as well as continue to learn as a professional engineer. Your studies will include areas such as electrical and electronic system design, machine intelligence and robotics, computer programming and advanced materials. The emphasis is placed on the need to view a manufacturing system as being made up of people, machines and information.  You'll have the opportunity to design creative solutions with inspiring and sustainable design and build projects. You'll also take part in the Engineers Without Borders Challenge - a humanitarian-focused course offered in all RMIT engineering degrees. A feature of this degree is the access you'll have to state-of-the-art facilities, such as the Advanced Manufacturing Precinct which combines RMIT's expertise in technology and design innovation. To ensure you graduate job ready, you'll also have an opportunity to undertake a work-integrated learning (industry experience) elective. RMIT University is ranked in the top 150 universities in the world for engineering (mechanical, aeronautical and manufacturing). Get involved in high-tech manufacturing processes and the manufacturing of high-tech products. Studying advanced manufacturing and mechatronics at RMIT offers the following benefits:",4,English,A,AUD,,yes,,80.55,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh068,yes
year,ABB / Festo / Toyota / Cadbury / National Instruments / SAGE / Ford / Bosch Australia,no,6.0,no,no,IELTS,Years,Bundoora,"39,360",['ATAR IS: Not applicable'],RMIT University,,yes,,HONS,Bachelor of Engineering (Adv Manufacturing and Mechatronics) (Honours),Engineering,"Are you ready for an exciting career which lets you design, build and implement smart mechatronic systems which can be deployed within a wide range of engineering companies? In the Bachelor of Engineering (Advanced Manufacturing and Mechatronics) (Honours) degree, you will learn about mechatronics, robotics, advanced materials, automated systems and the simulation and modelling of manufacturing processes. As automation replaces people in various industry sectors, engineers with experience in robotics and mechatronics will be sought after. This degree will prepare you to work in a wide range of industries and as an RMIT graduate, you'll demonstrate skills across mathematics, engineering, mechatronics, design and creativity. You'll also be able to communicate your ideas to others, as well as continue to learn as a professional engineer. Your studies will include areas such as electrical and electronic system design, machine intelligence and robotics, computer programming and advanced materials. The emphasis is placed on the need to view a manufacturing system as being made up of people, machines and information.  You'll have the opportunity to design creative solutions with inspiring and sustainable design and build projects. You'll also take part in the Engineers Without Borders Challenge - a humanitarian-focused course offered in all RMIT engineering degrees. A feature of this degree is the access you'll have to state-of-the-art facilities, such as the Advanced Manufacturing Precinct which combines RMIT's expertise in technology and design innovation. To ensure you graduate job ready, you'll also have an opportunity to undertake a work-integrated learning (industry experience) elective. RMIT University is ranked in the top 150 universities in the world for engineering (mechanical, aeronautical and manufacturing). Get involved in high-tech manufacturing processes and the manufacturing of high-tech products. Studying advanced manufacturing and mechatronics at RMIT offers the following benefits:",4,English,A,AUD,,yes,,80.55,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh068,yes
year,ABB / Festo / Toyota / Cadbury / National Instruments / SAGE / Ford / Bosch Australia,no,6.0,no,no,IELTS,Years,Melbourne,"39,360",[],RMIT University,,yes,,HONS,Bachelor of Engineering (Biomedical Engineering) (Honours),Engineering,"Australia is a leading country in the development of medical research and technology. By studying biomedical engineering, you can be part of these exciting and rewarding fields of work. You'll learn how to bridge clinical medicine, healthcare and the technologies that support these fields. You’ll help people affected by health conditions and the health professionals who support them. In completing studies in biomechanics, medical electronics, mathematics, and medical science, our graduates are well trained to work in the medical technology and biotechnology industries, producing assistive technologies, implantable devices for rehabilitation applications, lab-on-a-chip diagnostics and biomaterials. You will have access to world-leading researchers and 3D-printing facilities such as the Advanced Manufacturing Precinct, the MicroNano Research facility and the 3DBioFab, placing you at the interface of cutting-edge technologies and advances in biomedical science.
 With the opportunity to undertake industry placements either locally or internationally, you'll be work-ready when you graduate. There are also opportunities to undertake research projects in partnership with industry, like the Engineers Without Borders Challenge. At RMIT, you’ll study a biomedical engineering degree that is collaborative and interdisciplinary, encompassing science, medical science, IT and engineering. You will develop innovative skills to apply science and engineering to biomedicine and health care. Through hands-on learning and workplace experience, you’ll gain the skills to
design and develop materials, equipment and technologies that will have an impact in this growing industry. You’ll use the latest technologies to deliver outcomes based on real-world challenges. - Kate Firipis, Bachelor of Engineering (Biomedical Engineering) (Honours) graduate
",4,English,A,AUD,,yes,,80.00,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh069,yes
year,ABB / Festo / Toyota / Cadbury / National Instruments / SAGE / Ford / Bosch Australia,no,6.0,no,no,IELTS,Years,Bundoora,"39,360",[],RMIT University,,yes,,HONS,Bachelor of Engineering (Biomedical Engineering) (Honours),Engineering,"Australia is a leading country in the development of medical research and technology. By studying biomedical engineering, you can be part of these exciting and rewarding fields of work. You'll learn how to bridge clinical medicine, healthcare and the technologies that support these fields. You’ll help people affected by health conditions and the health professionals who support them. In completing studies in biomechanics, medical electronics, mathematics, and medical science, our graduates are well trained to work in the medical technology and biotechnology industries, producing assistive technologies, implantable devices for rehabilitation applications, lab-on-a-chip diagnostics and biomaterials. You will have access to world-leading researchers and 3D-printing facilities such as the Advanced Manufacturing Precinct, the MicroNano Research facility and the 3DBioFab, placing you at the interface of cutting-edge technologies and advances in biomedical science.
 With the opportunity to undertake industry placements either locally or internationally, you'll be work-ready when you graduate. There are also opportunities to undertake research projects in partnership with industry, like the Engineers Without Borders Challenge. At RMIT, you’ll study a biomedical engineering degree that is collaborative and interdisciplinary, encompassing science, medical science, IT and engineering. You will develop innovative skills to apply science and engineering to biomedicine and health care. Through hands-on learning and workplace experience, you’ll gain the skills to
design and develop materials, equipment and technologies that will have an impact in this growing industry. You’ll use the latest technologies to deliver outcomes based on real-world challenges. - Kate Firipis, Bachelor of Engineering (Biomedical Engineering) (Honours) graduate
",4,English,A,AUD,,yes,,80.00,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh069,yes
year,"the design, manufacture and testing of motor vehicles / the design, specification and installation of large air conditioning systems / the design of materials handling systems in the packaging and mining industries / power generation and renewable power sources / construction and maintenance in the petrochemical industry / the design of trains and trams / computerised control in the pharmaceutical industry / the aeronautical industry / the implementation of new manufacturing methods in the electronics industry / the development of engineering computer software / research and development in industry and other technical institutions / technical sales in the marketing divisions of engineering companies / engineering management in large and small organisations, both in Australia and overseas.",no,6.0,no,no,IELTS,Years,Melbourne,"39,360",[],RMIT University,,yes,,HONS,Bachelor of Engineering (Mechanical Engineering) (Honours),Engineering,"As a mechanical engineer your creativity and technical skills will be in high demand across many industries managing and maintaining existing technologies and developing new ones.
",4,English,A,AUD,,yes,,80.40,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh070,yes
year,"the design, manufacture and testing of motor vehicles / the design, specification and installation of large air conditioning systems / the design of materials handling systems in the packaging and mining industries / power generation and renewable power sources / construction and maintenance in the petrochemical industry / the design of trains and trams / computerised control in the pharmaceutical industry / the aeronautical industry / the implementation of new manufacturing methods in the electronics industry / the development of engineering computer software / research and development in industry and other technical institutions / technical sales in the marketing divisions of engineering companies / engineering management in large and small organisations, both in Australia and overseas.",no,6.0,no,no,IELTS,Years,Bundoora,"39,360",[],RMIT University,,yes,,HONS,Bachelor of Engineering (Mechanical Engineering) (Honours),Engineering,"As a mechanical engineer your creativity and technical skills will be in high demand across many industries managing and maintaining existing technologies and developing new ones.
",4,English,A,AUD,,yes,,80.40,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh070,yes
year,"broadband and mobile operators, equipment manufacturers and other telecommunications service providers / education research and development organisations / the Australian defence industry / other government organisations including transport, security, meterology and emergency services",no,6.0,no,no,IELTS,Years,Melbourne,,[],RMIT University,,yes,,HONS,Bachelor of Engineering (Telecommunications Engineering) (Honours),Engineering,"During this degree, you'll learn the fundamentals and processes behind the design of modern telecommunications systems and services, including the Internet, 4G/5G mobile, broadband optical, wireless and satellite systems. You'll learn about a wide range of communications technologies, including optical fibre and wireless systems (such as 4G/5G mobile and Wi-fi), the Internet, cable systems, and satellite communications. As a professional you'll then be able to apply these systems and technologies to various civilian and defence applications such as radar, weather monitoring, global positioning, sensor networks, and provision of services such as voice, video and streaming services over the Internet. In your third or fourth year, this degree offers the option to take a minor in either communications engineering (focusing on the specification, design, and maintenance of physical communication links and circuits), or network engineering (focusing on creating integrated communications networks, management of information flow, delivery of internet and data services, and network security). You'll have the opportunity to design creative solutions through inspiring and sustainable design and build projects, as well as taking part in the Engineers Without Borders Challenge - a humanitarian-focused course offered in all RMIT engineering degrees. To ensure you graduate job-ready, you'll also have an opportunity to undertake a work-integrated learning (industry experience) elective, with the wide range of industry projects in the telecommunications industry.  Studying telecommunications engineering at RMIT offers the following benefits:",4,English,D,AUD,,no,,80.40,year 12,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh071,yes
year,Telstra / Optus / Cisco / Huawei / Robert Bosch Pty Ltd. ,no,6.0,no,no,IELTS,Years,Melbourne,"39,360","['ATAR IS: Not published', 'int_fee is: not applicable']",RMIT University,,yes,,HONS,Bachelor of Engineering (Computer and Network Engineering) (Honours),Engineering,"At RMIT, computer and network engineering are taught together to provide graduates with the opportunity to work in their preferred field. You will learn and implement the fundamental technologies behind computerised, smart and intelligent digital systems used in modern life. The degree allows you to focus your skills on a range of computer systems and network engineering topics ranging from the Internet of Things (IoT) platforms, sensor networks, high-performance parallel processing, real-time embedded hardware control and data communication networks. You will learn the fundamental topics in both computer and network engineering fields and then choose to specialise in either area to ensure that you graduate work-ready. You'll gain the knowledge and skills to find better solutions to challenges in design, construction and maintenance of software and hardware components of computing and computer-controlled devices, equipment and systems. This could include communication networks and automation of electrical and electronic systems; audio and visual information acquisition, processing and communications; human-machine interaction, industrial or medical instrumentation and monitoring; and provision of security for computer systems and networks. In computer engineering, you'll learn how to create new opportunities for businesses by driving new technologies and solutions to make businesses more productive and competitive. From designing and developing new microcontroller-based products and systems, to enhancing functionalities of those that currently exist, there are plenty of possibilities in a world of ever-changing market needs and consumer demands. During network engineering studies you'll learn about the design, implementation and maintenance of digital communication networks. In this degree, network engineering looks at technology, audio and visual communications over wired and wireless networks, network management and software defined networks, optimising network performance and network security. You'll have the opportunity to design creative solutions through inspiring and sustainable design-and-build projects, as well as taking part in the Engineers Without Borders Challenge - a humanitarian-focused course offered in all RMIT engineering degrees. To ensure you graduate job-ready, you'll also have an opportunity to undertake a work-integrated learning (industry experience) elective. Studying computer and network engineering at RMIT offers the following benefits:",4,English,A,AUD,,no,,80.40,year 12,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh072,yes
year,automotive / auto-electronics / defence / electrical supply industry / government departments / health and medical / manufacturing / power generation / public transport / renewable energy / robotics and automation / tech startups / telecommunications / transport / aviation,no,6.0,no,no,IELTS,Years,Melbourne,"39,360",[],RMIT University,,yes,,HONS,Bachelor of Engineering (Electrical and Electronic Engineering) (Honours),Engineering,"Are you interested in a career as an electrical engineer? In this course you'll gain the fundamental knowledge and principals necessary for a career in electrical and electronic engineering. Electrical engineers devise solutions to generate and use electrical power efficiently and cleanly. Electronic engineers design, implement and maintain electronic devices and systems, including those found in communications, defence, hospitals, and more. Your study will include the generation, distribution and application of electrical energy, and the design and control of the electrical and electronic devices and systems required to power and improve life for people and communities. You'll have a wide range of options to specialise in various sub-areas of electrical and electronic engineering, including: You'll have the opportunity to design creative solutions through inspiring and sustainable design-and-build projects, as well as taking part in the Engineers Without Borders Challenge - a humanitarian-focused course offered in all RMIT engineering degrees. RMIT University is ranked in the top 100 universities in the world for engineering (electrical and electronic). Studying the Bachelor of Engineering (Electrical and Electronic Engineering) (Honours) at RMIT offers the following benefits:",4,English,A,AUD,,no,,80.25,year 12,no,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh073,yes
year,F1 teams / Porsche / Ford / General Motors / Toyota / Audi / BMW / Daimler-Chrysler / Bosch,no,6.0,no,no,IELTS,Years,Melbourne,"39,360",[],RMIT University,,no,,HONS,Bachelor of Engineering (Automotive Engineering) (Honours),Engineering,"Advance your skills so you can design and work with the fast-moving technologies of the automotive industry. This degree is built on core studies in mechanical engineering, with a specialisation in automotive engineering to develop economical and sustainable automotive designs, or solve automotive engineering problems. You'll study vehicle power systems, vehicle noise and vibration, vehicle handling and control, and sustainable vehicle design, automotive manufacturing and vehicle aerodynamics. The degree incorporates complete car design with a focus on new technologies that benefit society such as driverless cars, full-electric, hybrid power trains and fuel cells. It takes a global view and is increasingly environmental in outlook. The emphasis will be on hands-on learning, with your work largely laboratory-based, where you'll conduct experiments and design your own projects. With the opportunity to undertake industry placements either locally or internationally, you'll be work-ready when you graduate. There are also opportunities to tackle research projects in partnership with industry, like the Engineers Without Borders Challenge. This degree is an outcome of industry and student demand. Studying automotive engineering at RMIT offers the following benefits:",4,English,A,AUD,,yes,,82.70,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh074,yes
year,F1 teams / Porsche / Ford / General Motors / Toyota / Audi / BMW / Daimler-Chrysler / Bosch,no,6.0,no,no,IELTS,Years,Bundoora,"39,360",[],RMIT University,,no,,HONS,Bachelor of Engineering (Automotive Engineering) (Honours),Engineering,"Advance your skills so you can design and work with the fast-moving technologies of the automotive industry. This degree is built on core studies in mechanical engineering, with a specialisation in automotive engineering to develop economical and sustainable automotive designs, or solve automotive engineering problems. You'll study vehicle power systems, vehicle noise and vibration, vehicle handling and control, and sustainable vehicle design, automotive manufacturing and vehicle aerodynamics. The degree incorporates complete car design with a focus on new technologies that benefit society such as driverless cars, full-electric, hybrid power trains and fuel cells. It takes a global view and is increasingly environmental in outlook. The emphasis will be on hands-on learning, with your work largely laboratory-based, where you'll conduct experiments and design your own projects. With the opportunity to undertake industry placements either locally or internationally, you'll be work-ready when you graduate. There are also opportunities to tackle research projects in partnership with industry, like the Engineers Without Borders Challenge. This degree is an outcome of industry and student demand. Studying automotive engineering at RMIT offers the following benefits:",4,English,A,AUD,,yes,,82.70,year 12,yes,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bh074,yes
